customer_id,treatment,conversion,visit,exposure,class
IN-Hung-15894,1,0,0,0,Lost Cause
IN-Jais-17512,1,0,0,0,Lost Cause
IN-Akle-17369,1,0,0,0,Lost Cause
IN-Deol-71539,1,0,0,0,Lost Cause
IN-Puja-7705,1,0,0,0,Lost Cause
IN-Akle-88795,1,0,0,0,Lost Cause
IN-Pand-10397,1,0,0,0,Lost Cause
IN-Kend-18733,1,0,0,0,Lost Cause
IN-Domb-30325,1,0,0,0,Lost Cause
IN-Barp-94383,1,0,0,0,Lost Cause
IN-Saha-23995,1,0,0,0,Lost Cause
IN-Tiru-5044,1,0,0,0,Lost Cause
IN-Dhar-33555,1,0,0,0,Lost Cause
IN-Pune-71130,0,0,0,0,Lost Cause
IN-Peri-51499,1,0,0,0,Lost Cause
IN-Aist-24977,1,0,0,0,Lost Cause
IN-Raja-10486,1,0,0,0,Lost Cause
IN-Supa-33005,1,0,0,0,Lost Cause
IN-Gora-76151,1,0,0,0,Lost Cause
IN-Akle-25025,1,0,0,0,Lost Cause
IN-Elam-41149,1,0,0,0,Lost Cause
IN-Kala-61806,1,0,0,0,Lost Cause
IN-Bhay-19515,1,0,0,0,Lost Cause
IN-Narw-7403,1,0,0,0,Lost Cause
IN-Gora-2300,1,0,0,0,Lost Cause
IN-Ging-50880,1,0,0,0,Lost Cause
IN-Tiru-10173,1,0,0,0,Lost Cause
IN-Sirs-96024,0,0,0,0,Lost Cause
IN-Dals-63007,1,0,0,0,Lost Cause
IN-Uran-62393,1,0,0,0,Lost Cause
IN-Mala-76734,1,0,0,0,Lost Cause
IN-Hung-79998,1,0,0,0,Lost Cause
IN-Puja-16234,1,0,0,0,Lost Cause
IN-Lete-88225,0,0,0,0,Lost Cause
IN-Peri-89502,1,0,0,0,Lost Cause
IN-Gaje-86586,1,0,0,0,Lost Cause
IN-Alwa-25244,1,0,0,0,Lost Cause
IN-Adra-92982,0,0,0,0,Lost Cause
IN-Barb-83701,0,0,0,0,Lost Cause
IN-Bhay-64874,1,0,1,0,Persuadables
IN-Rang-92670,1,0,0,0,Lost Cause
IN-Domb-78170,0,0,0,0,Lost Cause
IN-Aist-4496,1,0,0,0,Lost Cause
IN-Chha-19850,1,0,0,0,Lost Cause
IN-Robe-29794,1,0,0,0,Lost Cause
IN-Osma-28389,1,0,0,0,Lost Cause
IN-Rang-24354,1,0,0,0,Lost Cause
IN-Adra-50949,1,0,0,0,Lost Cause
IN-Udum-87961,1,0,0,0,Lost Cause
IN-Aist-92893,1,0,0,0,Lost Cause
IN-Soja-93412,1,0,0,0,Lost Cause
IN-Dals-82065,0,0,0,0,Lost Cause
IN-Supa-33759,1,0,0,0,Lost Cause
IN-Barp-5210,1,0,0,0,Lost Cause
IN-Domb-15628,1,0,0,0,Lost Cause
IN-Soja-74953,1,0,0,0,Lost Cause
IN-Ging-5029,0,0,0,0,Lost Cause
IN-Dhar-77557,0,0,0,0,Lost Cause
IN-Tiru-95045,1,0,0,0,Lost Cause
IN-Tegh-34454,0,0,0,0,Lost Cause
IN-Bhay-74903,1,0,0,0,Lost Cause
IN-Cham-84233,1,0,0,0,Lost Cause
IN-Robe-45561,1,0,1,0,Sure Thing
IN-Alwa-43495,1,1,1,1,Persuadables
IN-Tali-65481,1,0,0,0,Lost Cause
IN-Lal -64538,1,0,0,0,Lost Cause
IN-Pune-34260,1,0,0,0,Lost Cause
IN-Adra-90208,1,0,0,0,Lost Cause
IN-Barp-72418,0,0,0,0,Lost Cause
IN-Dals-40570,1,0,0,0,Lost Cause
IN-Barb-37319,1,0,0,0,Lost Cause
IN-Amre-9439,1,0,0,0,Lost Cause
IN-Mala-63801,1,0,0,0,Lost Cause
IN-Puja-66326,0,0,0,0,Lost Cause
IN-Tali-45255,1,0,0,0,Lost Cause
IN-Akle-96631,1,0,0,0,Lost Cause
IN-Pand-72459,1,0,0,0,Lost Cause
IN-Kend-86594,0,0,0,0,Lost Cause
IN-Gaje-15779,1,0,0,0,Lost Cause
IN-Madh-33425,1,0,0,0,Lost Cause
IN-Sirs-37076,1,0,0,0,Lost Cause
IN-Pune-94508,1,0,0,0,Lost Cause
IN-Raja-82597,1,0,0,0,Lost Cause
IN-Dava-34864,1,0,0,0,Lost Cause
IN-Diam-91916,1,0,0,0,Lost Cause
IN-Hung-54323,1,0,0,0,Lost Cause
IN-Aist-66638,1,0,0,0,Lost Cause
